,title,artist(s),album,added_at,album_type,release_date,total_tracks,disc_number,duration_ms,explicit,popularity,track_number,id,is_local
68,Pink & Blue,OutKast,album,2019-11-10T05:30:36Z,album,2003,40,2,304813,False,42,13,6Mu0ZYQCcRFR7BLs9iG16v,False
69,"Good Day, Good Sir - Interlude",OutKast,album,2019-11-10T05:30:35Z,album,2003,40,2,84880,False,36,11,1rXMnoTvDwCGom2y2uAt4s,False
70,Behold a Lady,OutKast,album,2019-11-10T05:30:34Z,album,2003,40,2,277226,False,39,12,12hQ53eHbx1VXCG8P3V6e2,False
71,Roses,OutKast,album,2019-11-10T05:30:32Z,album,2003,40,2,369573,True,73,10,6bUNEbXT7HovLW6BgPCBsb,False
72,She Lives in My Lap (feat. Rosario Dawson),OutKast,album,2019-11-10T05:30:31Z,album,2003,40,2,267266,False,50,8,6vV1NDCjh2afFgQ9Vb7i86,False
73,Hey Ya!,OutKast,album,2019-11-10T05:30:31Z,album,2003,40,2,235213,False,80,9,2PpruBYCo4H7WOBJ7Q2EwM,False
74,Prototype,OutKast,album,2019-11-10T05:30:30Z,album,2003,40,2,326240,False,56,7,1QJb6LWvPXZpTMiqqODqkH,False
75,Spread,OutKast,album,2019-11-10T05:30:29Z,album,2003,40,2,231373,True,41,5,6usyQ5fFzISwVu4Hk5QgG7,False
76,Where Are My Panties,OutKast,album,2019-11-10T05:30:29Z,album,2003,40,2,114266,False,35,6,5P1fYR4ltTkiFIGnsvrGKA,False
77,Happy Valentine's Day,OutKast,album,2019-11-10T05:30:27Z,album,2003,40,2,323106,False,42,4,32q1h0jij3ePpp47ShIqVy,False
78,Love Hater,OutKast,album,2019-11-10T05:30:26Z,album,2003,40,2,169733,False,37,2,5aSZXRJg2NxnWcK1LKCldg,False
79,God - Interlude,OutKast,album,2019-11-10T05:30:26Z,album,2003,40,2,140173,False,35,3,5spGA7Y58Rsx5Nu8UmLfSC,False
80,The Love Below - Intro,OutKast,album,2019-11-10T05:30:23Z,album,2003,40,2,87866,False,36,1,5oGCd3rzy0oW5F6t3vrDo9,False
81,Bowtie - Postlude,OutKast,album,2019-11-10T05:30:21Z,album,2003,40,1,35000,False,32,19,7xrtSOPrFxjyavgkXEZ32U,False
82,D-Boi - Interlude,OutKast,album,2019-11-10T05:30:20Z,album,2003,40,1,40520,True,31,17,7ogkELY42bcSSvdzutxPtt,False
83,"Last Call (feat. Slimm Calhoun, Lil' Jon, The EastSide Boyz & Mello)",OutKast,album,2019-11-10T05:30:20Z,album,2003,40,1,237160,True,38,18,1oPGTrHrMygoW9cbNxWx3N,False
84,Reset (feat. Khujo Goodie & Cee-Lo),OutKast,album,2019-11-10T05:30:19Z,album,2003,40,1,275720,False,37,16,2PAcNOzhCHsDzsBfDysPnG,False
85,Flip Flop Rock (feat. Killer Mike & Jay-Z),OutKast,album,2019-11-10T05:30:18Z,album,2003,40,1,275826,False,39,14,3cruThftOq6AYda82nQz3C,False
86,Interlude,OutKast,album,2019-11-10T05:30:18Z,album,2003,40,1,75280,True,32,15,11ZkoQqwKyQ84tBvaSehUh,False
87,E-Mac - Interlude,OutKast,album,2019-11-10T05:30:17Z,album,2003,40,1,24653,True,0,12,7EkYV4UOurrJU5MOGR8uu2,False
88,Knowing,OutKast,album,2019-11-10T05:30:17Z,album,2003,40,1,211946,False,36,13,3Lpzt83fy4a9BdkLXi4vKZ,False
89,"Tomb of the Boom (feat. Konkrete, Big Gipp & Ludacris)",OutKast,album,2019-11-10T05:30:16Z,album,2003,40,1,286173,False,37,11,5F3reBlMAHQ0mpzRM6Jite,False
90,Bamboo - Interlude,OutKast,album,2019-11-10T05:30:15Z,album,2003,40,1,129866,False,34,10,71VHyRlLpcb8GT9rH4zkSp,False
91,War,OutKast,album,2019-11-10T05:30:14Z,album,2003,40,1,163773,False,37,8,0Asjj7E8L1tEmfaQhNfuVT,False
92,Church,OutKast,album,2019-11-10T05:30:14Z,album,2003,40,1,207266,False,39,9,31tw8G1CMOf4XNAWiwj41u,False
93,Bust (feat. Killer Mike),OutKast,album,2019-11-10T05:30:11Z,album,2003,40,1,188893,True,39,7,4KWLfZ2N2EfIa58vVmTB9z,False
94,Unhappy,OutKast,album,2019-11-10T05:30:09Z,album,2003,40,1,199360,True,41,3,5fz2Z7m0u2AKCkdrGKXHtC,False
95,The Rooster,OutKast,album,2019-11-10T05:30:09Z,album,2003,40,1,237133,False,40,6,0XcTOLKLorCgXa2KWzhM1D,False
96,Bowtie (feat. Sleepy Brown & Jazze Pha),OutKast,album,2019-11-10T05:30:08Z,album,2003,40,1,236640,True,42,4,5voPrNQYQ4kQoRZ9A2NghB,False
97,The Way You Move (feat. Sleepy Brown),OutKast,album,2019-11-10T05:30:08Z,album,2003,40,1,234000,True,66,5,5z7mYFfhw6N6f23VwrokJD,False
98,GhettoMusick,OutKast,album,2019-11-10T05:30:07Z,album,2003,40,1,236720,True,47,2,1zb9cdsTMrEEL2Ut8rmTb6,False
99,Intro,OutKast,album,2019-11-10T05:30:06Z,album,2003,40,1,89386,False,38,1,4xemN2xVVpfQfQUnvEjOEl,False
100,Player's Ball (Reprise),OutKast,album,2019-11-10T05:29:57Z,album,1994-04-26,17,1,139920,False,38,17,07VQlRoaqWDJ9ySZhHw0Ec,False
101,D.E.E.P.,OutKast,album,2019-11-10T05:29:56Z,album,1994-04-26,17,1,331293,False,39,16,0bZX6Nd5yHTFJnaJMq4iiU,False
102,Crumblin' Erb,OutKast,album,2019-11-10T05:29:55Z,album,1994-04-26,17,1,309866,True,53,14,3T790QTg0ebUUk5tCRbtbN,False
103,Hootie Hoo,OutKast,album,2019-11-10T05:29:55Z,album,1994-04-26,17,1,238906,True,48,15,2B7hM098uEDiLJqTsUY4Ba,False
104,True Dat (Interlude),OutKast,album,2019-11-10T05:29:54Z,album,1994-04-26,17,1,76000,False,36,13,4YFaSkSRaQ3lTde01gUSKq,False
